CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0012,0.9999999982428625,C0069,0.9999999897920798,C0182,0.999999986511372
C0002,C0029,0.9999999730366043,C0176,0.9999999697293234,C0034,0.9999999643193442
C0003,C0157,0.9999999807142139,C0038,0.9999999498613585,C0160,0.9999999345682847
C0004,C0132,0.9999999996559141,C0036,0.9999999993802926,C0175,0.9999999940913447
C0005,C0009,0.9999999867630869,C0178,0.9999999852368974,C0164,0.9999999794463498
C0006,C0126,0.999999999960493,C0123,0.9999999998286864,C0118,0.9999999973433473
C0007,C0146,0.9999999999371122,C0170,0.9999999842969043,C0152,0.999999982980158
C0008,C0190,0.9999999994305908,C0113,0.9999999908097209,C0136,0.9999999794284584
C0009,C0178,0.9999999996832191,C0198,0.9999999910572125,C0005,0.9999999867630869
C0010,C0049,0.9999999256230946,C0091,0.9999998109037227,C0032,0.9999997325233112
C0011,C0167,0.9999999999709008,C0139,0.9999999996923467,C0015,0.9999999995657277
C0012,C0001,0.9999999982428625,C0069,0.9999999801301895,C0065,0.9999999775041395
C0013,C0054,0.9999999965210231,C0188,0.9999999923449749,C0099,0.9999999917436528
C0014,C0128,0.9999818168678642,C0110,0.9999785281719622,C0130,0.9999771147371882
C0015,C0173,0.999999999924593,C0167,0.9999999997614569,C0011,0.9999999995657277
C0016,C0040,0.9999999980738643,C0096,0.9999999960260386,C0141,0.999999985158136
C0017,C0169,0.999999999983628,C0161,0.9999999992588376,C0165,0.9999999985037289
C0018,C0041,0.9999999997056781,C0070,0.9999999971752327,C0191,0.9999999954796366
C0019,C0071,0.9999999993734915,C0142,0.999999992846293,C0073,0.9999999839194436
C0020,C0150,0.9999998821426593,C0058,0.9999996711323954,C0080,0.99999963472127
C0021,C0155,0.9999999996986875,C0135,0.9999999986153337,C0064,0.9999999966848625
C0022,C0108,0.9999999969470614,C0107,0.9999999941680862,C0183,0.9999999934174273
C0023,C0085,0.9999999998029869,C0185,0.9999999963338653,C0074,0.9999999954476768
C0024,C0090,0.9999999999786497,C0070,0.9999999997894694,C0081,0.9999999957574927
